"","project","wilcox_effort_pvalue","wilcox_effort_inf","t-test_effort_t","t-test_effort_df","t-test_effort_pvalue","wilcox_percentageOfChange_pvalue","wilcox_percentageOfChange_inf","t-test_percentageOfChange_t","t-test_percentageOfChange_df","t-test_percentageOfChange_pvalue","wilcox_accuracy_pvalue","wilcox_accuracy_inf","t-test_accuracy_t","t-test_accuracy_df","t-test_accuracy_pvalue","wilcox_precision_pvalue","wilcox_precision_inf","t-test_precision_t","t-test_precision_df","t-test_precision_pvalue","wilcox_recall_pvalue","wilcox_recall_inf","t-test_recall_t","t-test_recall_df","t-test_recall_pvalue","wilcox_measure_pvalue","wilcox_measure_inf","t-test_measure_t","t-test_measure_df","t-test_measure_pvalue"
"14","googletest",0.999999764056716,-8.00005096429176,-1.51700575437565,903,0.93519239095778,0.999971978847119,-0.00755214559432874,-1.09306245436557,903,0.86267105361346,0.999985962122936,-0.00725567356250345,-1.9229940865712,903,0.972602494815483,0.968464748547579,-0.00182658374395968,-0.220433864933515,903,0.587208449815376,0.9999998657157,-0.00607914091158549,-2.66934604489606,903,0.996131834735751,0.999991405561267,-0.00370088147872108,-1.61553898560791,903,0.946728333784238
"15","hashcat",0.999999999999874,-6.9999761579414,-4.52103664877469,2002,0.999996743271246,1,-0.0223570321031783,-5.42710207639068,2002,0.999999967888173,1,-0.0207449862566313,-9.80085986334625,2002,1,0.999999996859531,-0.00673445261135477,-7.13538790865707,2002,0.999999999999328,1,-0.0143126786918151,-9.67657764202076,2002,1,1,-0.0103542025581932,-8.81689177899691,2002,1
"16","hibernate-orm",0.0151075336677576,0.999942061839833,2.43703267472721,1063,0.00748576699613657,0.27770589118204,-0.00397358052615271,-2.27924202412729,1063,0.988574887257633,0.277376995429353,-0.00331706549356769,-1.06091120883368,1063,0.855514382458799,0.0664864127514661,-0.000191094361269419,-2.17375522353905,1063,0.985028173797728,0.694175785734352,-0.00457361846565371,-2.39177332483122,1063,0.991529907011764,0.295108132658488,-0.00201631079166833,-2.33910992098212,1063,0.990242887075643
"17","jq",0.967215099868082,-35.4999262534414,-1.61209482495169,47,0.943181462292542,0.965643184601559,-0.0671312221570404,-1.54682944942389,47,0.935693970698592,0.96865859375021,-0.0569547514142017,-1.67841996232136,47,0.950048428339362,0.978651232310909,-0.0374890039687646,-1.71602257572065,47,0.953628251299986,0.962393343892262,-0.0234655977910582,-0.928300899546531,47,0.821002709199353,0.965643184601559,-0.0331291760897925,-1.43546976764253,47,0.921112331397717
"18","jquery",0.999998988217588,-29.99994311028,-4.33589889134606,246,0.999989407644634,0.999994467358317,-0.0430926387085897,-3.69428298023802,246,0.999864127081891,0.999996335831946,-0.0382312241474658,-4.27411828895479,246,0.999986270142751,0.999957564409147,-0.0150252223976824,-3.61585091993068,246,0.999818441316644,0.999998940740436,-0.0251788480517425,-3.04072638915907,246,0.998692347150671,0.999994659009933,-0.0215764031981817,-3.32924131808327,246,0.999497809598039
"19","json",0.749053271710234,-5.50001041851445,-2.50883598612342,828,0.993848498931503,0.778495649113911,-0.00227988509487424,-0.669772990730425,828,0.748405377513165,0.799705250015435,-0.00224223738878862,-1.63322244825132,828,0.948598804685328,0.0827008170625269,-8.84982144475766e-05,0.362858971088814,828,0.358401421878822,0.999741781116292,-0.00372223851086253,-2.92045765494002,828,0.998204961127723,0.790077980710329,-0.00109666705565483,-1.28884284530315,828,0.901093650564335
"20","junit5",0.457290312506609,-8.00001728197856,0.269715982174517,75,0.394059737957958,0.72527490940338,-0.119746211945028,-1.30582612235501,75,0.902198558423772,0.713226928542023,-0.0789645538006509,-1.06107547750253,75,0.85396970201345,0.741082402719802,-0.072966836332042,-1.19462666668179,75,0.882001388995117,0.794767227384423,-0.0726994931911956,-1.07913086523512,75,0.858006149138158,0.742860300647792,-0.061470898842196,-1.21565913164659,75,0.886036248273646
"21","keras",0.99999999236473,-9.00002394612202,-2.2039114580317,865,0.986103335378942,0.999999997782466,-0.0174711051515753,-2.32727024024285,865,0.989909574299978,0.999999999304675,-0.0161063814383959,-4.03496624391071,865,0.999970278637764,0.999864944513776,-0.00429570317788328,-2.52068584248104,865,0.994054263121066,0.999999999424687,-0.0132763833436284,-3.81580471563506,865,0.999927299434816,0.999999999017775,-0.00866342031229947,-3.30344184797273,865,0.999502864561788
"22","libuv",0.0148806862662963,1.50005462543321,1.86113935434875,289,0.0318698909281402,0.0293910634581648,0.00183141544494867,1.61190325352214,289,0.0540372482548273,0.0289706406713241,0.00142932050603562,1.894993995998,289,0.0295455550952419,0.00407302543182045,0.00192617580154902,0.643678730759823,289,0.260147122553898,0.0959396122778363,-0.00176193548035311,1.56567787824809,289,0.0592591662568036,0.0431248212597831,0.000223625100799981,1.54662224370054,289,0.0615243405229458
"23","lombok",1,-19.0000222131433,-6.04507745947026,383,0.999999998226718,1,-0.0490643196163697,-6.10253134331748,383,0.999999998720649,1,-0.041777185967305,-7.15678328395429,383,0.99999999999788,0.999999999997197,-0.0160009684861742,-4.30592352494698,383,0.999989423957219,1,-0.0356154175835939,-6.25895190862663,383,0.999999999480343,1,-0.0241696508417058,-5.59759566954824,383,0.999999979251991
"24","Magisk",0.753093116551862,-18.0000861491099,-0.940392311266611,25,0.82199263629673,0.812010123771791,-0.217332444402492,-1.53185571575033,25,0.930942121529122,0.852287972088179,-0.121188821155671,-1.49237156256111,25,0.92594260361947,0.907909625170669,-0.0856012270911204,-1.67209707997047,25,0.946511706257855,0.420266830835834,-0.0561259288841129,-0.689512673889711,25,0.751574270695462,0.822665302342377,-0.105995553616832,-1.38878267947876,25,0.911425823576035
"25","mockito",0.992488412198747,-6.99997328659695,0.426014844194643,261,0.335224069004217,0.856871165362944,-0.0456049241129816,-1.94758993057567,261,0.973731875407095,0.838199624185226,-0.0317677399062048,-1.69053009074954,261,0.953939786690164,0.219189104596596,-0.00581955877823456,-0.440305953969411,261,0.669960023352334,0.990191307238891,-0.0420544404319429,-3.1435559215103,261,0.999069061026606,0.879963673051983,-0.0237849711558696,-2.27577955507708,261,0.988165033465089
"26","nest",1,-4.00002126200617,-4.61690918747974,15193,0.999998036558003,1,-0.00962889763280222,-16.666899083361,15193,1,1,-0.00909087119344864,-20.0351047371502,15193,1,1,-0.00438900702116147,-16.7921800516116,15193,1,1,-0.00513828409941875,-16.8208733495677,15193,1,1,-0.0047983549237178,-17.2485409583753,15193,1
"27","netdata",0.139385199862054,-0.99997985942899,1.4964065666987,259,0.067882650383466,0.0574629787501583,-0.000214646295046441,0.22907115931372,259,0.409497194141654,0.0590992160250235,-0.000307033837892793,0.384824959375073,259,0.350341457449622,0.002964467823675,0.00217080877982785,0.560232347208309,259,0.287902607171615,0.501293694122338,-0.00566675735485952,-0.687961838474418,259,0.753953760635701,0.0728413299695402,-0.000304028536535708,-0.210144656617136,259,0.58314000434395
"28","netty",0.946865487946006,-17.4999830604532,-1.59062569881187,57,0.941387300366672,0.900728603156669,-0.0982795257467696,-1.4186986374789,57,0.919284076573699,0.931322644831907,-0.0802299827109885,-1.73985089755873,57,0.956358757232681,0.861197290818218,-0.0297783930516045,-1.49249112908341,57,0.92945747585401,0.92573192678131,-0.0498814187955425,-1.31314976203018,57,0.902802787249005,0.927461524856058,-0.0512274122165832,-1.46657092886417,57,0.926005741157575
"29","obs-studio",0.999999999999997,-18.4999372861387,-5.17673730155156,481,0.999999833803892,0.999999999928056,-0.0116255335425867,-4.03617103036825,481,0.99996840033193,0.999999999950413,-0.011153050362882,-4.55565387790062,481,0.999996685956031,0.999999008321078,-0.00245516698763269,-2.64581500225204,481,0.995791838700681,0.999999999950874,-0.00904855290780212,-4.31014785063894,481,0.999990101496768,0.99999999993528,-0.00571040523258027,-3.99432834690975,481,0.999962483472883
"30","stb",0.999999999999924,-43.5000371095088,-5.03293467864201,303,0.999999585085228,0.999999999999899,-0.0170936611402768,-4.25519765346308,303,0.99998606233006,0.99999999999991,-0.016301068548495,-5.38137173570895,303,0.999999925884475,0.999999995337946,-0.00405537163959692,-2.60445636859769,303,0.995172157634473,0.999999999999971,-0.0116038590765419,-4.441015315764,303,0.999993719122332,0.999999999999914,-0.00857284711345551,-3.96667087008614,303,0.999954489249861
"31","pandas",1,-9.99995272392237,-4.12538007806268,1930,0.999980707732578,1,-0.00846353898038362,-7.17087985559346,1930,0.999999999999472,1,-0.00803543531778824,-8.4916385918206,1930,1,0.999999995984492,-0.00159059679225536,-3.40254877704525,1930,0.999659383549416,1,-0.00754817730405385,-8.82861320585994,1930,1,1,-0.00401424875923324,-7.40459115197479,1930,0.999999999999902
"32","protobuf",0.897393911481861,-1.00006487177191,-1.12817578668031,7375,0.870358806615381,0.840937507632121,-0.00239386020855916,-0.974662700263371,7375,0.835120216091354,0.968709678953971,-0.00281464209045065,-0.00133205873081264,7375,0.500531396376781,0.0243823821005454,9.41998279231134e-05,2.40029913040649,7375,0.00820315416911764,0.999262424700727,-0.00264531154802236,0.613623391508727,7375,0.269741573707549,0.902594954053632,-0.0012101437632566,1.40667338652425,7375,0.0797831983957504
"33","react",0.88969122330432,-3.49997462251124,0.658622448355666,722,0.255174107382829,0.745944041666667,-0.00769437250713931,0.751779057815127,722,0.226214464224931,0.774007350231545,-0.00726793654452131,-0.733252328040673,722,0.768178724750272,0.97721730372466,-0.00462689335451855,-0.623311378305699,722,0.733361615527302,0.820976203611232,-0.00582266186416708,-0.707995495345526,722,0.760411727664563,0.757615223443357,-0.00370579000507095,-0.66693773071531,722,0.747487506371461
"34","redis",1,-27.0000411103952,-6.23541868319698,1389,0.99999999970169,1,-0.0182827376973168,-7.93520813640173,1389,0.999999999999998,1,-0.0173946157803477,-9.54911132157959,1389,1,0.999999999999901,-0.00328500376255816,-5.27653165029133,1389,0.999999923714818,1,-0.0152647060548877,-8.58571915234996,1389,1,1,-0.00916072818397359,-7.62357937720454,1389,0.999999999999977
"35","redux",0.991523873487573,-5.49995429020413,-1.48295353811697,173,0.930046912644595,0.95922579684562,-0.0483442912058277,-1.82737374434804,173,0.965316704003739,0.94290584807617,-0.028766869668848,-1.42594084787343,173,0.922156321024916,0.958656083554125,-0.0214439646994772,-1.59719034221433,173,0.943975877337106,0.985807891211715,-0.0366433192464414,-2.35821524077852,173,0.990260038076426,0.986427913565495,-0.0253798891550567,-2.27512459773837,173,0.987937220073123
